Date,Location,Classification,Count
08/31/2021,Bronx,Cases,260
09/01/2021,Bronx,Cases,222
09/02/2021,Bronx,Cases,211
09/03/2021,Bronx,Cases,216
09/04/2021,Bronx,Cases,126
09/05/2021,Bronx,Cases,138
09/06/2021,Bronx,Cases,163
09/07/2021,Bronx,Cases,285
09/08/2021,Bronx,Cases,234
09/09/2021,Bronx,Cases,241
09/10/2021,Bronx,Cases,232
09/11/2021,Bronx,Cases,139
09/12/2021,Bronx,Cases,127
09/13/2021,Bronx,Cases,223
09/14/2021,Bronx,Cases,201
09/15/2021,Bronx,Cases,234
09/16/2021,Bronx,Cases,193
09/17/2021,Bronx,Cases,174
09/18/2021,Bronx,Cases,107
09/19/2021,Bronx,Cases,140
09/20/2021,Bronx,Cases,243
09/21/2021,Bronx,Cases,202
09/22/2021,Bronx,Cases,205
09/23/2021,Bronx,Cases,139
09/24/2021,Bronx,Cases,156
09/25/2021,Bronx,Cases,100
09/26/2021,Bronx,Cases,97
09/27/2021,Bronx,Cases,185
09/28/2021,Bronx,Cases,158
09/29/2021,Bronx,Cases,150
09/30/2021,Bronx,Cases,150
10/01/2021,Bronx,Cases,134
10/02/2021,Bronx,Cases,75
10/03/2021,Bronx,Cases,67
10/04/2021,Bronx,Cases,158
10/05/2021,Bronx,Cases,168
10/06/2021,Bronx,Cases,137
10/07/2021,Bronx,Cases,121
10/08/2021,Bronx,Cases,126
10/09/2021,Bronx,Cases,67
10/10/2021,Bronx,Cases,62
10/11/2021,Bronx,Cases,108
10/12/2021,Bronx,Cases,128
10/13/2021,Bronx,Cases,122
10/14/2021,Bronx,Cases,109
10/15/2021,Bronx,Cases,110
10/16/2021,Bronx,Cases,56
10/17/2021,Bronx,Cases,49
10/18/2021,Bronx,Cases,108
10/19/2021,Bronx,Cases,93
10/20/2021,Bronx,Cases,99
10/21/2021,Bronx,Cases,85
10/22/2021,Bronx,Cases,86
10/23/2021,Bronx,Cases,55
10/24/2021,Bronx,Cases,37
10/25/2021,Bronx,Cases,94
10/26/2021,Bronx,Cases,64
10/27/2021,Bronx,Cases,100
10/28/2021,Bronx,Cases,82
10/29/2021,Bronx,Cases,87
10/30/2021,Bronx,Cases,41
10/31/2021,Bronx,Cases,47
11/01/2021,Bronx,Cases,74
11/02/2021,Bronx,Cases,79
11/03/2021,Bronx,Cases,75
11/04/2021,Bronx,Cases,108
11/05/2021,Bronx,Cases,90
11/06/2021,Bronx,Cases,57
11/07/2021,Bronx,Cases,46
11/08/2021,Bronx,Cases,140
11/09/2021,Bronx,Cases,100
11/10/2021,Bronx,Cases,122
11/11/2021,Bronx,Cases,90
11/12/2021,Bronx,Cases,109
11/13/2021,Bronx,Cases,65
11/14/2021,Bronx,Cases,47
11/15/2021,Bronx,Cases,136
11/16/2021,Bronx,Cases,151
11/17/2021,Bronx,Cases,163
11/18/2021,Bronx,Cases,172
11/19/2021,Bronx,Cases,114
11/20/2021,Bronx,Cases,71
11/21/2021,Bronx,Cases,74
11/22/2021,Bronx,Cases,152
11/23/2021,Bronx,Cases,144
11/24/2021,Bronx,Cases,160
11/25/2021,Bronx,Cases,35
11/26/2021,Bronx,Cases,142
11/27/2021,Bronx,Cases,100
11/28/2021,Bronx,Cases,89
11/29/2021,Bronx,Cases,286
11/30/2021,Bronx,Cases,278
12/01/2021,Bronx,Cases,279
12/02/2021,Bronx,Cases,307
12/03/2021,Bronx,Cases,241
12/04/2021,Bronx,Cases,172
12/05/2021,Bronx,Cases,122
12/06/2021,Bronx,Cases,365
12/07/2021,Bronx,Cases,333
12/08/2021,Bronx,Cases,339
12/09/2021,Bronx,Cases,354
12/10/2021,Bronx,Cases,345
12/11/2021,Bronx,Cases,267
12/12/2021,Bronx,Cases,258
12/13/2021,Bronx,Cases,744
12/14/2021,Bronx,Cases,925
12/15/2021,Bronx,Cases,1093
12/16/2021,Bronx,Cases,1329
12/17/2021,Bronx,Cases,1509
12/18/2021,Bronx,Cases,1060
12/19/2021,Bronx,Cases,1072
12/20/2021,Bronx,Cases,3656
12/21/2021,Bronx,Cases,4590
12/22/2021,Bronx,Cases,5510
